Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0772,Mon Sep 17 18:04:04 +0000 2018,0.0,0.929,0.071,University Challenge icons @e_monkman and @Bobby_Seagull road trip around Britain in search of hidden gems of Briti… https://t.co/ehTKqStAoJ,0,@BBC
0.0,Mon Sep 17 17:04:05 +0000 2018,0.0,1.0,0.0,Australia has ordered an investigation into the discovery of sewing needles hidden in strawberries.… https://t.co/4VUFTkoOKt,1,@BBC
0.6996,Mon Sep 17 16:04:02 +0000 2018,0.0,0.674,0.326,"The finalists of the Comedy Wildlife Photography Awards have been announced! 🐿😂
 https://t.co/fB7n9B6ugV https://t.co/rBl2q4QaDa",2,@BBC
0.0,Mon Sep 17 15:03:04 +0000 2018,0.0,1.0,0.0,"Who knew Paddington had such a foul mouth?! 😱🐻😂 #QI

https://t.co/Si3pPqooX9",3,@BBC
-0.5574,Mon Sep 17 14:03:05 +0000 2018,0.146,0.854,0.0,"The UK's oldest person has seen the outbreak and resolution of two world wars, the sinking of the Titanic, and all… https://t.co/6GLb77FEpO",4,@BBC
0.4404,Mon Sep 17 13:04:04 +0000 2018,0.0,0.791,0.209,This is truly magical: Sue and her underwater wheelchair. (Via @BBCThree) https://t.co/fKFUb94oM3,5,@BBC
0.7184,Mon Sep 17 12:02:06 +0000 2018,0.0,0.708,0.292,The Duchess of Sussex has launched her first solo charity project as a royal - a cookbook in support of Grenfell fa… https://t.co/yBj2kdv4rY,6,@BBC
0.0,Mon Sep 17 11:27:23 +0000 2018,0.0,1.0,0.0,RT @bbcpress: 🏴󠁧󠁢󠁷󠁬󠁳󠁿 @larrylamb47 leads cast of TV favourites for new drama #PitchingIn on @BBCWales and @BBCOne daytime: https://t.co/Say…,7,@BBC
0.0,Mon Sep 17 11:03:04 +0000 2018,0.0,1.0,0.0,"🌟🌠✨ The International Dark Sky Association has named Wales as a dark skies world leader... 

https://t.co/6cMHSt3mPT",8,@BBC
0.0,Mon Sep 17 10:03:05 +0000 2018,0.0,1.0,0.0,"Meet Vera, a 102-year-old Manchester City mascot. 💙️⚽️

https://t.co/TRLp6M4m6G",9,@BBC
0.0,Mon Sep 17 09:04:06 +0000 2018,0.0,1.0,0.0,"Your week, as told by @louistheroux...

https://t.co/S4y4TzziDY",10,@BBC
0.5994,Mon Sep 17 08:02:03 +0000 2018,0.0,0.755,0.245,This spectacular 'super bloom' has transformed the South African desert. 🌺🌻🌸  https://t.co/CQwGUcetkj https://t.co/XHT1h9ycAV,11,@BBC
0.5719,Mon Sep 17 07:31:08 +0000 2018,0.0,0.802,0.198,"✅ Courgetti spaghetti
✅ Chicken kebab wrap
✅ Vegetable curry

These recipes for students are delicious and a doddle… https://t.co/9geDMjS3RJ",12,@BBC
0.0,Mon Sep 17 07:03:05 +0000 2018,0.0,1.0,0.0,"🌧️ 🤔 This man claims he can control the rain, so @BBCAfrica put him to the test...

https://t.co/FKZTK9Zzoe",13,@BBC
0.4767,Sun Sep 16 19:17:07 +0000 2018,0.0,0.838,0.162,Riding on some types of roller-coaster is an effective way of removing kidney stones. 🎢🏥 https://t.co/kpRbQFUbSq https://t.co/cBJWvkx7OZ,14,@BBC
0.0,Sun Sep 16 17:04:06 +0000 2018,0.0,1.0,0.0,From overnight oats to kids' fruit cobbler: here are some quick and simple blackberry recipes.  😍… https://t.co/R3NOxFaED1,15,@BBC
0.0,Sun Sep 16 16:02:03 +0000 2018,0.0,1.0,0.0,From Viola Davis to Robert Pattinson: these are the stars who 'regret' their big roles. https://t.co/jfEkKsKryO https://t.co/yD6fxIOBXg,16,@BBC
0.0,Sun Sep 16 15:03:04 +0000 2018,0.0,1.0,0.0,"""You cannot make clothes without pockets!"" 

Miriam getting a makeover is everything. ❤️️

https://t.co/WfjTPgFROW",17,@BBC
-0.1531,Sun Sep 16 14:04:05 +0000 2018,0.176,0.676,0.149,A new scientific study suggests that there are strong similarities between near death experiences and psychedelic d… https://t.co/xgw82FQzeZ,18,@BBC
0.0,Sun Sep 16 14:01:39 +0000 2018,0.0,1.0,0.0,RT @BBCSport: We ❤️ Vera! https://t.co/4jTELqBPBv,19,@BBC
0.5983,Sun Sep 16 13:02:01 +0000 2018,0.0,0.777,0.223,"This is unbelievable! 👕📲️⚽️

Sam is 17 and sells clothes to the likes of @paulpogba, @kylewalker2 and @aubameyang7.

https://t.co/OcXmoK4IlQ",20,@BBC
-0.7717,Sun Sep 16 11:02:07 +0000 2018,0.283,0.717,0.0,"""If someone offered me my arms back, I wouldn't take them"".

Seok Chang-woo lost both arms in a horrific accident,… https://t.co/32iRbW38uV",21,@BBC
0.5574,Sun Sep 16 10:03:03 +0000 2018,0.0,0.66,0.34,"😂😂😂 @kenjeong's laugh is ICONIC. 

@crazyrichmovie @aliplumb

https://t.co/WQu5bdPeQP",22,@BBC
0.6588,Sun Sep 16 09:50:43 +0000 2018,0.0,0.747,0.253,"Space race! 🚀🏃⭐️

@usainbolt is just as great at running in zero gravity...

https://t.co/JRVh3a5TZZ",23,@BBC
0.4588,Sun Sep 16 08:37:46 +0000 2018,0.0,0.875,0.125,"RT @bbcthree: All your fav bits from Ep 1 in one tasty vid.

The #KillingEve boxset is on BBC Three iPlayer now. https://t.co/Fzw1UJZApc",24,@BBC
0.0,Sun Sep 16 08:03:03 +0000 2018,0.0,1.0,0.0,“Singapore is a character in this film”: @gemma_chan talks to Steve Wright about her role in #CrazyRichAsians. 🎬🍿… https://t.co/A2AjFScRV0,25,@BBC
-0.25,Sun Sep 16 07:32:07 +0000 2018,0.298,0.484,0.218,Can cold water swimming treat depression? 💙 https://t.co/iGy1AyPJ0V https://t.co/hXu5SFpgTn,26,@BBC
0.6249,Sun Sep 16 07:02:03 +0000 2018,0.104,0.63,0.266,"These beautiful fish have devastating effects on their habitat, but @reef_org are working to save Miami's coastal w… https://t.co/qXCjAfHtix",27,@BBC
0.4019,Sat Sep 15 21:03:05 +0000 2018,0.0,0.886,0.114,"🐮🤔🐐 Do you know your beef from your GOAT? 

💬 Police have compiled a list of slang words to help them understand te… https://t.co/Zw5LGI8bVv",28,@BBC
